duid,district,lon,lat,height_m,storeys,current_name,proposed_name,grade,name_source,agreeing_sources,confidence,match_distance_m,inside_footprint,method,developer,project,changed
DXB-SAMAAL-0688c0f737,samaaljadaf,55.33644,25.228732,34.0,10,Suha Creek Hotel Apartments,Suha Creek Hotel Apartments,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-a61e04ef92,samaaljadaf,55.337548,25.230829,20.4,6,Manazel Al Khor,Manazel Al Khor,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-cd0af75719,samaaljadaf,55.340929,25.216355,12.0,4,Al Jadaf,Al Jadaf,MATCHED,osm_en,osm_en,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-673d29c490,samaaljadaf,55.332587,25.205925,12.0,4,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-43510d4854,samaaljadaf,55.336454,25.223826,12.0,4,Al Sheraa' (The Sail),Al Sheraa' (The Sail),MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-bf2ddac93f,samaaljadaf,55.337381,25.228409,12.0,4,Art Bay,Art Bay,MATCHED,register,register,0.9,0.0,True,carried on the footprint by build_anchors,ellington,Art Bay,False
DXB-SAMAAL-e6c7a50f89,samaaljadaf,55.337672,25.22744,12.0,4,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-39a15acd04,samaaljadaf,55.338821,25.227376,12.0,4,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-ca9a064728,samaaljadaf,55.338966,25.228566,12.0,4,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-d2ce1b8dff,samaaljadaf,55.33179,25.222425,44.2,13,DoubleTree by Hilton Dubai Al Jadaf,DoubleTree by Hilton Dubai Al Jadaf,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
